file,employees_text,company_number,source_employees
ocr-runner-output/private-equity-accounts/all-companies-2025-07-14/SC356383-2025-01-23-accounts-with-accounts-type-full.txt,"31 december 2023 5. staff costs total employer contributions made to defined contribution pension schemes and equivalents in 2023 totalled $11,442,000. there were no pension scheme contributions outstanding at the balance sheet date. key manage",SC356383,PDF
ocr-runner-output/private-equity-accounts/all-companies-2025-07-14/04453368-2025-01-13-accounts-with-accounts-type-micro-entity.txt,september 2024 2. average number of employees the average number of employees during the period was 10 (2023-9). the company is entitled to exemption from audit under section 477 of the companies act 2006 for the period ended 15 september 2024. the members have not required the company to obtain an audit of its financial statements for the period ended 15 september 2024 in accordance with section 476 of the companies act 2006. the directors acknowledge their responsibilities for: (a) ensuring that the company keeps accounting records which comply with sections 386 and 387 of the companies act 2006 and (b) preparing financial statements w,04453368,PDF
ocr-runner-output/private-equity-accounts/all-companies-2025-07-14/02734927-2024-05-31-accounts-with-accounts-type-small.txt,average monthly number of persons (including directors) employed by the company during the year was: 2023 2022 number number total a fi crowthorne limited notes to the financial statements (continued) for the year ended 31 december 2023 4 intangible fixed assets cost at 1 january 2023 and 31 december 2023 amortisation and impairment at 1 january 2023 amortisation charged for the year at 31 december 2023 carrying amount at 31 december 2023 at 31 december 2022 5 tangible fixed assets cost at 1 january 2023 and 31 december 2023 depreciation and impairment at 1 january 2023 and 31 december 2023 carrying amount at 31 december 2023 at 31 december 2022 6,02734927,PDF
ocr-runner-output/private-equity-accounts/all-companies-2025-07-14/SC358126-2025-01-10-accounts-with-accounts-type-full.txt,"31 december 2023 5.. staff costs total employer contributions made to defined contribution pension schemes and equivalents in 2023 totalled $11,442,000. there were no pension scheme contributions outstanding at the balance sheet date. key manage",SC358126,PDF
ocr-runner-output/private-equity-accounts/all-companies-2025-07-14/01352704-2025-01-01-accounts-with-accounts-type-full.txt,"average monthly number of persons (including directors) employed by the company during the year was: 2024 2023 number number operations - 12 administration - 2 total - 14 their aggregate remuneration comprised: 2024 2023 £ £ wages and salaries - 667,678 social security costs - 69,438 pension costs - 24,370 - 761,486 the directors' remuneration borne by other group companies totalled £1,286,086 (2023: £915,559) for the enva topco group. -17- associated reclaimed oils limited notes to the financial statements (continued) for the year ended 31 march 2024 7 finance costs interest on financial liabilities measured at amortised cost: interest on lease l",01352704,PDF
ocr-runner-output/private-equity-accounts/all-companies-2025-07-14/05489368-2025-03-14-accounts-with-accounts-type-audit-exemption-subsiduary.txt,"average monthly number of persons (including directors) employed by the company during the year was: 2024 2023 number number total - 24 3 directors’ remuneration 2024 2023 £ £ remuneration paid to directors - 167,040 no remuneration was paid to the directors. 4 tangible fixed assets plant and machinery etc £ cost at 1 july 2023 96,032 transfers (96,032) at 30 june 2024 - depreciation and impairment at 4 july 2023 71,282 transfers (71,282) at 30 june 2024 - carrying amount at 30 june 2024 - at 30 june 2023 24,750 the transfers in the year are in relation to the transfer of trade and asset to strat7 limited on 1 july 2023. page 11 docusign envelope",05489368,PDF
ocr-runner-output/private-equity-accounts/all-companies-2025-07-14/07513054-2024-08-20-legacy.txt,"average number of employees during the year of 352 (2022: 290) and significant pay rises to help its employees through the cost of living crisis. during the year the group has proactively sought to increase its operational capacity, to ensure its ability to service both new and existing clients is maintained and has also continued to increase headcount within central functions to further support the future growth of the group. during the year, the group also relocated its head office to newer, larger premises, following substantial fit-out works on the new office. the intention is to provide a technologically advanced,",07513054,PDF
ocr-runner-output/private-equity-accounts/all-companies-2025-07-14/14858754-2025-01-10-accounts-with-accounts-type-audit-exemption-subsiduary.txt,financial review the company does not employ staff but instead utilises the services of staff employed by other group companies the company recorded a loss after tax of $36 9m during the period. the company incurred interest charges of $42.3m on the,14858754,PDF
ocr-runner-output/private-equity-accounts/all-companies-2025-07-14/09419098-2024-07-26-accounts-with-accounts-type-full.txt,"year and gender” 2021 2022 2023 total employees (n.°.) 169 486 714 q 66 (39%) 192 (40%) 247 (34,6%) co 103 (61%) 294 (60%) 467 (65,4%) as regards the distribution of employees per business cluster, the decentralised production segment is the on",09419098,PDF
ocr-runner-output/private-equity-accounts/all-companies-2025-07-14/03793167-2024-08-29-accounts-with-accounts-type-audit-exemption-subsiduary.txt,"average monthly number of employees, including the directors, during the year was as follows: 2023 2022 marketing, distribution and selling - 42 = 12 in prior year, dr s cameron was also director of nucleus holdings limited, the parent company. his remuneration, which was paid by nucleus holdings limited, is disclosed in that company’s financial statements. no apportionment was made to scientificpathways limited. no other directors were paid by this company. 8 taxation corporation tax 2023 2022 £°000 £'000 current tax on profits / losses for the year - 59 adjustments in respect of previous years - 1 total current tax _ 60 14 sc",03793167,PDF
ocr-runner-output/private-equity-accounts/all-companies-2025-07-14/07401490-2025-01-10-accounts-with-accounts-type-audit-exemption-subsiduary.txt,"average monthly number of persons employed by the company during the financial year was made up as follows: 2024 2023 no. of no. of employees employees surgery staff - 5 administration staff : _ _—l average number of employees - 6 the aggregate payroll costs of these persons were as follows: 2024 2023 £ £ wages and salaries - 106,395 social security costs - 8,667 other pension costs oo , 2,118 | total employee benefits expense : 117,180 from | april 2023, all staff services were provided to the company by petrie tucker and partners limited, a fellow subsidiary and therefore, the company no longer incurred employee’s costs. 7.",07401490,PDF
ocr-runner-output/private-equity-accounts/all-companies-2025-07-14/01242917-2025-03-31-accounts-with-accounts-type-small.txt,"average monthly number of persons employed by the company during the period was: 31 december 31 march 2023 2023 number number total - 5 4 tangible fixed assets tenant's plantand other assets total improvements machinery etc £ £ £ £ cost at 1 april 2023 and 31 december 2023 1,104,215 243,973 102,440 1,450,628 depreciation and impairment at 1 april 2023 1,104,215 235,647 102,440 1,442,302 depreciation charged in the period - 4,855 - 4,855 at 31 december 2023 1,104,215 240,502 102,440 1,447,157 carrying amount at 31 december 2023 - 3,471 - 3,471 at 31 march 2023 - 8,326 - 8,326 pryme group limited notes to the financial statemen",01242917,PDF
